		FRONT		RACK B999-R53				BACK			
											
82.25					47	82.25					47
80.50	DRL-45				46	80.50	PPL-46			PPL TO R58	46
78.75	Vlv Ctrl, ReadB, GCC trip PTS				45	78.75	DRL-44				45
77.00					44	77.00	Vlv Ctrl, ReadB, GCC trip PTS				44
75.25	DRL-42				43	75.25	DRL-41				43
73.50	Vlv Ctrl, ReadB, GCC trip PTS				42	73.50	camera, FTR, CTD				42
71.75					41	71.75				Phx Con	41
70.00					40	70.00	PWR-40			Leviton	40
68.25					39	68.25					39
66.50	PGC-36			ITOF-2	38	66.50					38
64.75	Pulse Generator 3- PVX 4130				37	64.75					37
63.00	FOCUS PULSER				36	63.00					36
61.25	PGC-33			ITOF-2	35	61.25					35
59.50	Pulse Generator 3- PVX 4130				34	59.50					34
57.75	EXTRACTOR PULSER				33	57.75					33
56.00	PGC-30			ITOF-2	32	56.00	PWR-32			Leviton	32
54.25	Pulse Generator 4- PVX 4130				31	54.25					31
52.50	REPELLER PULSER				30	52.50					30
50.75	VME-26	8-slot		ITOF-1	29	50.75					29
49.00					28	49.00					28
47.25	1xMVME6100 + PMC-230 EVR				27	47.25					27
45.50	4x ISEG VME HV Modules				26	45.50					26
43.75	BLK-25				25	43.75					25
42.00	SER-24			Digi TS16MEI	24	42.00					24
40.25	GCT-22A		GCT-22B		23	40.25					23
38.50		MKS 937A		MKS 937A	22	38.50					22
36.75					21	36.75					21
35.00	GCT-19A		GCT-19A		20	35.00					20
33.25		MKS 937A		MKS 937A	19	33.25					19
31.50					18	31.50					18
29.75	PCI-15				17	29.75					17
28.00					16	28.00					16
26.25	Gamma Vacuum MPC				15	26.25	PWR-15			Leviton	15
24.50	MCN-11				14	24.50					14
22.75					13	22.75					13
21.00					12	21.00					12
19.25				NEWPORT XPS C8	11	19.25					11
17.50					10	17.50					10
15.75	FAN-09			FAN TRAY	09	15.75					09
14.00	BNK-08				08	14.00					08
12.25	PSM-05				07	12.25					07
10.50					06	10.50					06
08.75				SLAC SD-261-200	05	08.75					05
07.00	BNK-04				04	07.00					04
05.25	PCI-01				03	05.25					03
03.50					02	03.50					02
01.75				Gamma Vacuum MPC	01	01.75					01
											
			STANFORD LINEAR ACCELERATOR CENTER			LINAC COHERENT LIGHT SOURCE					
			US DEPARTMENT OF ENERGY			INSTRUMENTATION & CONTROL RACKS					
			STANFORD UNIVERSITY, STANFORD, CA			RACK B999-R53					
ENGR		CHECKED		DATE		PRELIMINARY				A	
DESIGNER/COORD				4/4/2011							
						Revision 3					
				11/24/2014							
